Primary_Property_Type_EPA_Calculated,Weather_Normalized_Site_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e
Financial Office,64.5,176,953.1
Office,72.4,176.7,800
Office,65.7,178.2,2310.1
Medical Office,57.8,181.4,1132.2
Office,56.5,177.3,1265.4
Office,56.5,177.5,1846.7
Office,56.5,177.4,1042.8
Office,56.2,176.6,1267.8
Office,65.1,173.1,292.6
Office,56.2,176.3,2001.3
Office,56.7,175.1,2859.7
Medical Office,63.4,175.5,1017.5
Multifamily Housing,108.6,180.6,1331.6
Office,67.6,178,490.8
Multifamily Housing,108.2,178.5,2065.6
Office,56.5,177.5,2525.1
Multifamily Housing,86.8,180.2,712.3
Office,57.3,180.1,2592.2
Multifamily Housing,91.5,177.4,828
Multifamily Housing,135.2,184,541.3
Multifamily Housing,109.2,178.2,391.6
Office,57.5,180.5,10068.6
Residence Hall/Dormitory,104.7,177.5,395.9
Office,57.6,180.8,4095
Office,57.7,181.2,2739.2
Multifamily Housing,102.9,178.8,588.9
Multifamily Housing,58.7,184.4,113.5
Office,58.2,181.1,2846.1
K-12 School,84.3,183.6,537.2
Office,57.8,181.4,3602.9
Multifamily Housing,109.3,183.7,635.6
Hotel,79.7,180.1,1355.3
Multifamily Housing,103.9,182,455.3
Office,58.1,182.4,1696.3
Office,65,183.5,2172.7
Residence Hall/Dormitory,77.6,178.3,529.9
Residence Hall/Dormitory,82.1,180.4,720.2
Office,58.3,183,2152
Office,71.4,183,2187.5
Office,58.4,183.5,517.1
Office,58.5,183.6,1637
Office,63.4,181.9,487.1
Office,89.4,183.2,1665.1
Office,58.7,184.3,1669.9
Office,58.7,184.4,2089
Office,58.2,182.8,1304.3
Office,86.7,186.5,2336.5
Office,58.8,184.8,4249.5
Hotel,93,183.4,549.6
Office,58.9,185.1,1660.2
Office,59,185.3,553.2
Office,67.8,185.7,1266.1
Office,61,186.4,1372.8
Office,66.1,184.8,1296.5
Retail Store,77.7,184.7,929.6
Multifamily Housing,112.8,188.1,403.2
Multifamily Housing,78.9,176.3,621.3
Office,61.9,185,772.6
Office,59.6,187.3,2180.7
Multifamily Housing,62.6,188,1644.3
Office,59.9,188,987.3
Office,75.4,188.6,2399.5
Office,87.3,190.8,2999.7
Office,60.1,188.7,1650
Office,61.5,186.6,4575.1
Office,60.6,190.2,352.9
Multifamily Housing,109.3,190,178.6
Office,60.5,189.9,2384
Office,66.7,190,5553.1
Office,82.9,189.3,308.2
Office,59.9,188,468.8
Hotel,91.5,190.6,1064.8
Office,77.2,192.9,398.6
Multifamily Housing,120.3,189.7,2268.5
Office,61.1,191.7,959.6
Hotel,94.6,192.9,2325.1
Office,61.4,192.7,2579.3
Office,61.4,192.7,2248.7
Multifamily Housing,80.3,191.1,555.7
Office,60.9,191.4,487.4
Office,64.3,197,3970.7
Multifamily Housing,110.2,193,1564.9
Multifamily Housing,120.5,198,1500.4
Office,61.7,193.9,1935.5
Office,61.8,193.9,2966.1
Hotel,87.5,191.4,4821.9
Office,61.1,191.8,1157.2
Office,60.9,191.3,2227.7
Office,62,194.7,1839.2
Office,73.5,193,622.5
Office,62.3,195.7,1290.8
Residence Hall/Dormitory,81,193.4,2148.5
Multifamily Housing,89.3,197.7,915.5
Office,62.4,196,1496.1
Office,62.6,196.3,737.7
Office,62.6,196.6,4705.3
Office,80.9,196,428.5
Office,63.7,200,934.2
Hotel,75.3,195.6,1016.1
Multifamily Housing,61,191.7,403.2
K-12 School,69.9,198.3,623.1
Hotel,87,196.8,686.6
Office,62.4,196,1721
Office,62.9,197.5,1931.6
Worship Facility,108.8,196.5,457.7
Office,68.8,199.6,1954.3
Office,65.5,198.8,3782.3
Office,63.3,198.9,676.8
Hotel,79.9,199.5,1109
Office,63.1,198,1907.8
Office,64.7,203.3,856.1
Office,84.8,199.4,950.8
Office,63.7,200.2,1436.9
Hotel,89,197.8,671.2
Multifamily Housing,144.5,203.5,878
Office,63.9,200.7,1230.9
Office,64,201,504.1
Office,64.3,201.8,5276.8
Residence Hall/Dormitory,140.7,200.5,986.4
Office,75.5,201.3,453.6
Office,65.3,203,1874.7
Hotel,80.5,200.6,755.4
Office,64.7,203.3,1761.3
Office,64.7,203.3,1164.4
Office,88.1,206.4,2359
Office,65,204.2,1867.9
Office,78.1,206.5,816.9
Office,83.8,205.9,700.5
Hotel,94.3,203,886.2
Office,65.6,206,1734.9
Office,88.8,205.6,522.7
Office,114.9,209.5,1674.4
Office,66.4,206.3,4089.1
Office,65.7,206.3,2874.1
Office,81.8,207.9,5903.3
Office,66.9,210.2,934.9
Office,65.6,205.9,569.9
Office,66.5,208.7,2325.6
Office,67.2,208.8,1475.1
Hotel,121.5,209,585.8
Hotel,116.1,208.8,2174.3
Hotel,86.5,210.6,475.8
Office,67,210.4,2068
Hotel,91.2,211.7,1821.2
Office,67.2,211,2305.2
Office,67.3,211.3,379.5
Office,67.5,211.9,871.8
Office,90.3,214.1,1226.5
Office,97,205.7,2000.8
Multifamily Housing,89.8,212.5,558.5
Office,68,213.4,6063.6
Office,68.1,213.8,2700.2
Office,67.3,211.4,2210.5
Office,68.1,213.8,797.8
Office,68.3,214.5,2302.1
Office,68.5,215.2,1623.7
Office,83.7,215.1,419.5
Office,89,215,1852.2
Office,91.7,215.8,1478.5
Office,68.3,214.6,3978.6
Office,68.9,216.2,2572.3
Office,67.7,212.7,707.1
Office,70.2,220.4,1356.9
Office,69.2,217.4,6259.1
Office,71.6,217.9,1647.2
Office,72.7,217.1,1580.3
Hotel,96.2,217.1,8172.3
Office,76.5,219,1178.2
Office,82.1,217.4,59.3
Office,70.8,218.8,3145.8
Office,69.7,219,4218.1
Office,69.3,217.6,1062.6
Office,70.8,219.2,3346.2
Multifamily Housing,143.6,222.4,361.6
Hotel,93.4,217.3,510.2
Office,87.5,214.3,715.9
Office,70.1,220,488.7
Office,71.9,220.1,727.7
Hotel,82.8,218.2,1021.1
Office,78.3,219.1,3373.4
Office,70.3,220.6,758.8
Office,70.3,220.8,3319.2
Office,70.3,220.8,974.5
Office,75.3,221.9,898.6
Office,71.9,225.7,595.6
Office,70.6,221.7,5311.4
Multifamily Housing,80.4,222.9,2432
Office,84.5,222.5,2363.2
Office,71,223,537.9
Office,80.7,223.8,3830
Hotel,122.1,219.6,711.3
Office,85.7,222.5,865.2
Office,71.5,224.5,1105.6
Office,70.3,220.7,822.6
Senior Care Community,92.1,227.3,621.3
Office,71.5,224.5,626.2
Office,72.1,226.3,1321
Multifamily Housing,163.6,228.8,1979.8
Office,72.3,227.1,5027.8
Hotel,91.1,228.2,2399
Multifamily Housing,135.7,230.2,993.2
Hotel,99.4,228.5,894.3
Residence Hall/Dormitory,115.3,229.1,1998.3
Office,73.2,229.8,2164.4
Office,73.4,230.6,1748.9
Office,77,229.5,668.2
Office,72.3,226.9,637.4
Office,76.1,228.9,2587.4
Office,73.9,232,700.4
Office,74,232.3,2488
Multifamily Housing,144.3,229.3,1135.4
Multifamily Housing,143.1,238.3,610.6
Multifamily Housing,175.8,235.5,3284.7
Office,74.3,233.2,1463.1
Office,75.5,235.4,1837
Office,74.7,234.5,1402.4
Office,80.1,233.9,2382.7
Office,74.9,235.3,1453.1
Office,75.7,237.8,370.4
Hotel,99.6,237.1,9898
Office,75.5,236.9,1089.7
Office,75.5,237.1,11646
Office,79.9,237.3,1538.5
Worship Facility,104.9,236.6,2112.4
Hotel,116.1,241,3153.8
Office,76.1,238.8,737.4
Multifamily Housing,156.1,240,2337.4
Multifamily Housing,132.5,242.7,611
Office,76.4,240,1651.1
Office,77.7,244.1,1437.2
Financial Office,76.9,241.4,802.7
Office,77.5,243.3,1146.9
Medical Office,77.8,244.2,558
Office,79.2,248.8,2269.4
Office,79.3,249.1,1907.9
Office,89.5,250.5,2986.7
Multifamily Housing,143,255.4,2023.3
Office,86.1,251.2,857.1
Multifamily Housing,163.1,256.3,147.7
Office,80.3,252.2,2092.2
Hotel,126.3,252.2,6386.3
Office,80.5,252.7,3399.6
Mixed Use Property,81,254.4,5146
Office,81.9,254.4,3238.5
Office,79.8,250.5,814.2
Office,81.3,255.2,2027.6
Hotel,116.7,257.1,960.6
Hotel,129.4,256.2,13587.8
Office,81.8,256.7,1451.4
Hotel,146.6,253.7,1566
Office,85.4,254.4,706.4
Hotel,117.2,261.3,5286.2
Office,83.6,262.6,16361.8
Office,108.1,265.2,3293.9
Hotel,126.6,261.4,628.6
Office,84.7,266,2514.3
Office,87.6,266.4,2489.9
Office,84.8,266.4,2118.2
Hotel,122.1,266.9,2807.1
Office,84.6,265.8,2076.7
Office,99.2,265.9,2340.7
Office,96.9,269.5,1499.6
Office,87,273.2,633.7
Office,98,274.8,3468.1
Office,124.1,276.5,2589.7
Office,91.2,283.6,2107.4
Office,116,280.5,597.4
Office,87.7,275.5,1309.4
Office,89.3,280.3,1525.8
Office,89.2,280.2,1450.1
Hotel,154.6,280.8,2117.6
Senior Care Community,138.1,280.6,936.4
Office,90.6,284.6,2744.2
Hotel,144.4,289.7,5332.6
Office,97.7,286.8,2672.5
Hotel,118.9,285.9,886.7
Office,95.9,290.4,1087.4
Multifamily Housing,185.3,295.2,813.6
Hotel,109.8,298.3,2136.8
Hotel,152.2,294.6,1265.4
Office,94.1,295.4,743.3
Office,94.8,297.6,847.9
Hotel,119.7,301.1,7229.7
Office,96.4,302.7,1086.4
Office,101.2,302.6,943
Office,98.4,308.9,566
Office,98,307.8,2231.4
Hotel,142.8,308,2109.2
Office,100.4,314.5,2083.6
Medical Office,119.4,317.1,983.8
Hotel,128.5,315.5,3398.8
Office,105.4,321.1,4855.3
Retail Store,120.7,320.4,1457.8
Hotel,130.7,326.1,5144.9
Office,105.5,331.2,3744.2
Office,108.3,340.1,2569.6
Office,111.6,342.6,944.6
Office,113.3,337.4,1456.2
Office,115.8,363.7,2718.4
Office,124,361.9,1934.1
Medical Office,146.5,364.7,1883
Wholesale Club/Supercenter,158.3,371,2323.4
Hotel,194.2,401.6,2522.3
Supermarket/Grocery Store,168.6,411.2,1082.2
Office,132,414.5,1001.5
Hospital (General Medical & Surgical),183.8,422.4,1914.2
Senior Care Community,198.9,432.4,861
Office,138.4,434.6,1932
Office,165.5,461.9,6235.6
Office,149.9,462.9,3400.1
Supermarket/Grocery Store,175.9,490,1240.3
Supermarket/Grocery Store,212.5,498.1,345.5
Office,200.6,553.5,1546.5
Supermarket/Grocery Store,225.7,569.2,1153.4
Senior Care Community,369.9,567.1,3922.1
Hotel,275.8,583.1,1774
Supermarket/Grocery Store,186.1,582.7,1523.1
Office,190.1,596.9,2616.8
Supermarket/Grocery Store,215.5,620.6,975.1
Supermarket/Grocery Store,245.7,621.9,1229.7
Office,213,668.7,1362.6
Office,321.8,695.8,2358.3
Office,224.2,704,4178.4
Office,229.1,719.4,2495.3
Office,247.3,723.1,2792
Hospital (General Medical & Surgical),341.2,720.7,13037.8
Supermarket/Grocery Store,300,747.3,959.6
Office,249.7,784,2296.2
Supermarket/Grocery Store,366.7,861.5,1125.5
Office,344.7,914.8,6075.7
Office,373.3,1172.2,11861.7
Office,964.8,3029.6,6244.2
Office,3.4,10.6,25
Multifamily Housing,5.7,17.9,77.9
Non-Refrigerated Warehouse,15.2,19.5,65.3
Multifamily Housing,12.5,20,30.8
Office,7.9,24.8,102.9
Multifamily Housing,10.3,27,58.7
Residence Hall/Dormitory,10.1,31.3,243.6
Multifamily Housing,10.1,31.8,442.5
Non-Refrigerated Warehouse,14.1,35.6,153.4
Multifamily Housing,13,34.9,74.5
Non-Refrigerated Warehouse,11.9,37.5,163.1
Multifamily Housing,20,40.5,161.6
Multifamily Housing,20.3,41,172.2
Office,13.8,43.5,204.8
Office,14.9,46.7,759.5
Multifamily Housing,42.4,49.2,275.6
Multifamily Housing,45.7,52.8,126.5
Non-Refrigerated Warehouse,24.6,52.1,368.2
Multifamily Housing,22.9,54.3,130.1
Multifamily Housing,29.9,55,507.8
Multifamily Housing,32.7,56.8,503.8
Office,21.7,56.8,1022.9
Multifamily Housing,35.8,52.8,215.7
Multifamily Housing,27.8,59.5,135.8
Multifamily Housing,27.4,61,162.8
Residence Hall/Dormitory,17.9,56.2,369.6
Multifamily Housing,20.7,64.8,123.6
Multifamily Housing,50.4,65.9,608
Multifamily Housing,26.9,64.9,196.4
Office,21,66.1,207.6
Multifamily Housing,29.5,66.3,328.2
Multifamily Housing,50.1,68.6,261.3
Office,31.4,66.4,169.5
Multifamily Housing,34.3,68.2,365.7
Multifamily Housing,21.9,68.8,276.1
Non-Refrigerated Warehouse,33.8,69,274.3
Multifamily Housing,22,69,210.4
Multifamily Housing,42.2,70.1,465.9
Multifamily Housing,40.2,71.1,449.4
Worship Facility,21.8,68.6,160.4
Multifamily Housing,50.4,73.1,189.7
Multifamily Housing,67.2,76.7,261
Multifamily Housing,53.3,75.9,289.9
Multifamily Housing,52,75.1,177.8
Multifamily Housing,24,71.6,398.7
Multifamily Housing,47.7,74.3,423.3
Non-Refrigerated Warehouse,32.9,75.6,803.5
Multifamily Housing,25.3,75.6,168.7
Multifamily Housing,28.6,76.4,544.1
Multifamily Housing,53.4,77.8,3544.6
Multifamily Housing,57.2,78.8,222.5
Multifamily Housing,56.7,80.1,293.5
Office,29.3,81.2,314.1
Multifamily Housing,25.8,81.1,569.6
Multifamily Housing,34.7,81.8,198
Multifamily Housing,48.7,83.8,309
Multifamily Housing,41.9,83.2,235.2
Multifamily Housing,60.3,86.5,397.2
Multifamily Housing,36.5,83.1,1039
Multifamily Housing,54,84.2,1134.2
Multifamily Housing,43.7,83.5,1685.7
Multifamily Housing,46.3,87,349.6
Multifamily Housing,53.2,86.9,265
Multifamily Housing,29.4,88.1,1278.9
Multifamily Housing,79.3,92.5,242.1
Multifamily Housing,55.4,87.8,342.9
Multifamily Housing,62.3,88.3,249
Multifamily Housing,46.5,88.4,212.3
Multifamily Housing,66.1,92.4,208.6
Hotel,42.4,87.4,1164.3
Multifamily Housing,35.6,89.6,450.3
Multifamily Housing,59.1,90,266.8
Multifamily Housing,48.5,91.3,1565
Multifamily Housing,59.1,91.3,331.2
Multifamily Housing,31.2,88.9,317.3
Multifamily Housing,43.1,91.9,1765.9
Multifamily Housing,33.1,92.6,755.9
Multifamily Housing,33.2,92.4,276.3
Multifamily Housing,43.9,90.8,228.7
Multifamily Housing,46.8,93.5,410.4
Multifamily Housing,50,90.7,891.7
Multifamily Housing,40.4,93.5,810.1
Multifamily Housing,53.1,94.9,934
Office,31.6,94.4,622.1
Multifamily Housing,53.7,96.4,863.1
Multifamily Housing,54,96.5,1255.3
Multifamily Housing,34.9,95.2,279.9
Multifamily Housing,51.7,93.8,321.9
Multifamily Housing,57.1,92.3,322.4
Multifamily Housing,46,96.4,235.3
Multifamily Housing,48.8,95.1,752.4
Multifamily Housing,62.3,97.5,1184.7
Multifamily Housing,42.5,96.7,376.2
Multifamily Housing,30.9,96.9,721.1
Multifamily Housing,39.2,97.2,1021.1
Multifamily Housing,64.8,97.8,920.8
Multifamily Housing,36.9,97.5,1162.8
Multifamily Housing,31,97.3,1594.6
Multifamily Housing,77.5,100.5,310.5
Multifamily Housing,67.9,98.3,298.1
Multifamily Housing,59.6,97.4,334.5
Multifamily Housing,62.9,98.1,877.9
Multifamily Housing,57.4,98.6,927.2
Multifamily Housing,57,97.6,437.4
Multifamily Housing,47,97.4,757.2
Multifamily Housing,71.5,101.5,338.4
Multifamily Housing,51.9,97.8,710
Multifamily Housing,57,98.3,456.6
Multifamily Housing,32,100.6,1123.8
Multifamily Housing,32.1,100.7,777.3
Multifamily Housing,38.9,101.2,1593.8
Multifamily Housing,41.1,100.2,747.2
Multifamily Housing,70.5,101.7,833.2
Office,37.4,99.6,325.1
Multifamily Housing,32.6,101.3,1613.9
Multifamily Housing,32.4,101.6,202.4
Worship Facility,54.1,100,277.1
Multifamily Housing,32.5,102.1,414.3
Multifamily Housing,54.1,103.9,1827.2
Multifamily Housing,64.1,104.5,307.2
Multifamily Housing,62.3,101.1,563.7
Multifamily Housing,55.5,104.4,1042.8
Multifamily Housing,69.8,106.4,245.2
Multifamily Housing,69.8,103.9,306.6
Multifamily Housing,59.2,105.6,609
Multifamily Housing,33.2,104.3,261.6
Multifamily Housing,39.5,105.1,607.4
Multifamily Housing,38.2,102.1,662.2
Multifamily Housing,75.9,109.1,385
Office,33.6,105.4,1071.6
Multifamily Housing,33.6,105.4,422.8
Multifamily Housing,75.4,107.3,385.5
Multifamily Housing,35.6,105.7,1145.2
Multifamily Housing,70.6,105.4,410.8
Retail Store,33.3,104.7,1232.9
Multifamily Housing,68.9,107.2,452.1
Multifamily Housing,68.2,108.5,426.1
Multifamily Housing,62.2,105.6,244.9
Office,47.3,107.6,242.2
Multifamily Housing,41.5,106.5,620
Multifamily Housing,51,104.4,1053.1
Multifamily Housing,72.2,108.1,360.3
Multifamily Housing,62.8,104.5,339.6
Multifamily Housing,58,105.4,338
Multifamily Housing,50.9,105.5,1271.1
Multifamily Housing,37.1,107.8,413.5
Multifamily Housing,50.2,109,1007.4
Multifamily Housing,73,108.9,385.6
Multifamily Housing,60.5,110.5,926.6
Multifamily Housing,34.7,108.8,521.5
Multifamily Housing,71.3,110.5,279.2
Multifamily Housing,74.3,110.7,280.6
Multifamily Housing,51.9,106,1727.8
Multifamily Housing,69.9,107.6,541.7
Multifamily Housing,60.5,109.3,115.9
Multifamily Housing,71.9,110.8,302.8
Multifamily Housing,35.2,110.6,407.6
Multifamily Housing,69,111.2,674.7
Multifamily Housing,77.8,114.2,554.1
Financial Office,36.1,113.3,922.4
Non-Refrigerated Warehouse,36,112.9,240.8
Multifamily Housing,65.3,112.5,371.1
Multifamily Housing,65.6,111.8,525.1
Multifamily Housing,55.7,115.9,741.8
Multifamily Housing,45.9,111.9,471.9
Multifamily Housing,36.4,114.3,1462
Multifamily Housing,62.5,112.5,731.8
Office,48.5,115.1,427.2
Multifamily Housing,73,115.8,5289
Multifamily Housing,65.7,114.6,2244.4
Multifamily Housing,38.3,115.9,330.1
Multifamily Housing,72.6,115.4,684.3
Multifamily Housing,90,117.1,279.6
Multifamily Housing,48.8,114.3,342.8
Multifamily Housing,77.5,119.2,494.2
Office,41.5,115.9,809
Multifamily Housing,68.4,115.9,735.6
Multifamily Housing,71,115.9,342
Multifamily Housing,55.9,114.9,464.6
Residence Hall/Dormitory,69.2,119.2,506.5
Residence Hall/Dormitory,49.6,115.1,257.5
Multifamily Housing,87.5,118.3,391.7
Multifamily Housing,84.8,123.2,510.6
Office,48,118.8,500.6
Multifamily Housing,68.1,117.3,568.2
Multifamily Housing,69.6,119.9,342.3
Office,37,116.3,271.2
Multifamily Housing,53.1,120.8,559.5
Multifamily Housing,38.4,120.5,726.7
Residence Hall/Dormitory,75.2,123.3,326.6
Multifamily Housing,59.8,119.2,960
Multifamily Housing,38.5,120.9,442.8
Multifamily Housing,56.8,119.7,1473.2
Office,46.6,116.4,463.7
Multifamily Housing,82.6,121.9,614.9
Multifamily Housing,50.2,122.3,1469
Office,38.7,121.5,2023.4
Multifamily Housing,80.3,125,713.9
Multifamily Housing,37.7,118.3,372.7
Office,38.7,121.7,1085.6
Multifamily Housing,42,122.2,1337.6
Multifamily Housing,73.4,123.4,1011.1
Multifamily Housing,78.6,122.2,416.1
Residence Hall/Dormitory,64.8,121.2,380.1
Multifamily Housing,77.5,124.9,373.1
Multifamily Housing,47.6,123.8,1356.8
Multifamily Housing,62.2,126,389.9
Multifamily Housing,70.8,120.2,145.4
Multifamily Housing,84.4,124.5,363.1
Multifamily Housing,74.1,123.6,522.9
Multifamily Housing,85.2,126.6,479.4
Multifamily Housing,75.9,122.3,575.8
Multifamily Housing,58.9,120.8,990.2
Multifamily Housing,81.6,123.1,690.9
Office,39.3,123.3,305.7
Multifamily Housing,55.4,125.5,822.2
Multifamily Housing,76.8,124.7,906
Distribution Center,48.1,125.7,488.8
Multifamily Housing,57.8,123.8,1135.5
Multifamily Housing,75.7,123.4,2440.6
Multifamily Housing,84.6,128.9,742.9
Office,54.1,125.6,435.2
Office,47.5,127.1,1208.6
Multifamily Housing,82.9,128.7,418.5
Office,56.6,128.2,859
Multifamily Housing,81.4,127.1,831.6
Office,39,122.5,309.4
Multifamily Housing,68.7,126.9,447.2
Residence Hall/Dormitory,51,125.7,1258.3
Multifamily Housing,74.8,127.2,357.6
Multifamily Housing,39.5,123.9,429
Multifamily Housing,49,129,317.6
Multifamily Housing,92.7,131,436.5
Multifamily Housing,101.2,133.6,955.2
Multifamily Housing,70.7,129.6,2931.2
Multifamily Housing,75.8,129.6,360.9
Multifamily Housing,80.4,128.6,683
Multifamily Housing,79,131.5,651.5
Multifamily Housing,75.5,128.6,570.9
Multifamily Housing,84.9,128.6,665.1
K-12 School,65.4,130.1,500.1
Office,44.1,126.5,445.2
Office,48.1,129,1307.6
Hotel,88.3,131.5,364.6
Office,44.5,129.1,454.6
Office,54.7,129.3,340.3
Office,44.6,129.1,1209.2
Multifamily Housing,90.6,133.5,345.6
Multifamily Housing,86.5,132.6,308.3
Multifamily Housing,80.2,131.6,984.7
Hotel,61.5,126.5,516.7
Multifamily Housing,72.9,132.8,1903.3
Multifamily Housing,77.8,132.6,438.1
Multifamily Housing,89.2,136.1,513.8
Office,57.9,131.9,351
Non-Refrigerated Warehouse,54.6,129.4,632.7
Multifamily Housing,74,132.2,734.3
Multifamily Housing,78.7,131.4,511
Multifamily Housing,90.5,135.4,345.6
Office,68.8,134.6,447.2
Multifamily Housing,69.9,132.6,391.7
Multifamily Housing,104.7,138.4,355.6
Hotel,65.7,136.8,4986.1
Multifamily Housing,99.2,140.8,736
Multifamily Housing,80.3,138,3433.1
Multifamily Housing,79.7,136,400.7
Hotel,59.9,138.4,614.5
Office,46.4,136.6,2052.5
Multifamily Housing,73.6,136.7,2171.8
Office,44.6,139,3193.3
Hotel,62.3,139.1,518.2
Hotel,65.6,139.5,4449.1
Multifamily Housing,80.2,139.3,321.1
Multifamily Housing,79.8,135,1155.1
Multifamily Housing,99,144.6,1005
Office,45.8,141.5,1943.5
K-12 School,55.6,142,310.6
Office,76.8,141,1496.7
Multifamily Housing,57.4,142.2,1683.8
Office,45.2,141.9,2155.9
Multifamily Housing,78.1,141.6,433.7
Office,45.3,142.2,2148.7
Multifamily Housing,102.3,144.2,411
Office,63.5,144.5,410.2
Hotel,72.6,142.1,800.6
Residence Hall/Dormitory,87.9,144.2,710.4
Office,46,144.3,944
Office,47.7,143,2511
Office,46.1,144.4,738.5
Multifamily Housing,61.5,138.7,3011.1
Multifamily Housing,80.7,142.6,536.6
Multifamily Housing,54.4,139.7,363.7
Office,46.2,145.2,1852
Residence Hall/Dormitory,99.5,149.4,484.4
Office,45.8,143.8,1768.3
Office,47,147.5,686.5
Residence Hall/Dormitory,84.4,144.4,400.3
Multifamily Housing,63.8,147.4,1463.3
Multifamily Housing,87.2,140.3,2823.8
Office,45.9,144.2,1427.3
Multifamily Housing,68.2,141.8,366.9
Office,51.9,145.3,1992.7
Office,47,147.5,3801.2
Office,47,147.6,1458.6
Multifamily Housing,47.1,147.7,543.1
Office,47.4,148.7,4848.3
Multifamily Housing,57.8,144,1451
Multifamily Housing,76.5,145.5,420.6
Multifamily Housing,83.2,148,376.4
Office,55.1,146.4,1352.8
Residence Hall/Dormitory,65.1,150,461
Multifamily Housing,67.3,152.5,345.9
Office,47.5,149,543.5
Office,48.1,151,2591.3
Office,46.7,146.8,1308.4
Residence Hall/Dormitory,75.2,151.5,476.2
Multifamily Housing,47.9,150.5,808
Multifamily Housing,91.1,151.1,828
Office,46.9,147.4,927.9
Multifamily Housing,61.3,151.2,1647
Residence Hall/Dormitory,66.3,149.8,1062.8
Residence Hall/Dormitory,71.6,150.1,3883.5
Office,57.3,149.5,986.7
Multifamily Housing,50,157,577
Office,56.1,150.7,724.8
Office,48.7,152.8,1224.5
Multifamily Housing,92.2,152.4,3772.6
Multifamily Housing,101.2,158.1,879.6
K-12 School,57.4,148,554.3
Office,49,153.7,1515.2
Office,48.8,153.1,8818.4
Office,48.7,152.8,958.5
Multifamily Housing,83.6,156.8,2207.9
Multifamily Housing,93,153.5,2701.4
Multifamily Housing,112.2,157.4,542
Multifamily Housing,63.9,149.5,394.8
Office,48.9,153.4,1369.4
Office,61.5,153.6,744.7
Multifamily Housing,82.4,158,498.6
Multifamily Housing,49.6,155.7,530.9
Office,75.5,154.7,852.5
Office,50.2,157.8,1616.1
Office,50,156.2,3869.2
Multifamily Housing,105.4,153.7,453.9
Residence Hall/Dormitory,88.2,156.4,436.6
Hotel,69.6,157,686.8
Multifamily Housing,89.5,156.9,579.8
Office,56.2,157.5,700.1
Office,50,157,1347.8
Multifamily Housing,95.5,154.9,363
Office,50.2,157.6,2143
Office,70.6,156.5,882.8
Office,49.3,154.7,1440.4
Office,50.3,158.1,2282
Office,66.4,156.8,1808.9
Hotel,62.8,155.3,833
Office,51.4,160.8,2143.6
Office,56.1,157.5,2442.8
Retail Store,54.6,160.1,3056.8
Hotel,75.5,158.5,698.7
Multifamily Housing,95.3,159.8,1012.1
Office,50.7,159.3,1279.3
Office,51.2,160.8,856
Office,51.2,160.7,749.1
Office,53.2,161,2623.3
Office,51,160.1,2000.4
Office,51.5,161.7,905.1
Residence Hall/Dormitory,75.1,156,934.1
Multifamily Housing,91.2,163.7,578.9
Office,51.6,162.1,2528.7
Office,51.8,162.5,2230.7
Office,51.6,162.1,1357.6
Multifamily Housing,85,160.1,1071.7
Residence Hall/Dormitory,74.5,165.2,1017.5
Worship Facility,54.3,162.2,351.7
Office,52.1,163.6,1734.5
Office,52.1,163.7,4352.8
Multifamily Housing,100.2,168.8,2394.3
Multifamily Housing,90,167.6,549.5
Office,53.5,164.7,386.1
Office,71.5,165.3,1422.2
Office,56.3,163.4,856
Office,53.4,164.9,1265.3
Office,52,163.2,1255.5
Office,68.7,164.1,600.4
Office,52.9,166,387.2
Office,55.1,165.2,1553.5
Office,52.9,166.2,634.9
Office,61.6,166.9,5300.9
Multifamily Housing,120.9,169.5,520.8
Office,66.1,163.8,1170.4
Office,53.1,166.7,8261.3
Multifamily Housing,95.2,168.3,776.2
Office,53.4,167.5,3110.1
Multifamily Housing,95.3,158.6,1575.3
Multifamily Housing,80.4,163.8,418.2
Office,55.2,167.5,2430.3
Hotel,66.1,165.7,404.4
Multifamily Housing,92.3,166.9,1576.7
Non-Refrigerated Warehouse,88,170.3,523.8
Office,53.8,168.8,1670.5
Multifamily Housing,85.6,162.9,753.9
Office,62.2,168.9,1691.3
Office,56.8,168,3708.7
Office,54.1,169.9,827.2
Office,54.1,170,1085
Office,54,169.6,1831.9
Office,71.4,169.1,1004.9
Office,68.3,169.1,1001.9
Multifamily Housing,94.2,172,2957
Office,56.2,170.7,2553.1
Distribution Center,77.5,170.7,653.4
Office,53.6,168.2,2246.9
Office,63.4,172.2,555.2
Multifamily Housing,144.7,176.9,543.7
Hotel,86.2,169.5,2318.7
Office,53.8,168.9,652.9
Office,74,168,1453.6
Multifamily Housing,84.7,171,874.8
Office,69.6,169.1,827.6
Financial Office,64.4,173,1073.5
Office,75.3,174.7,796.2
Office,55.1,173,2066.6
Office,55.1,173,602.8
Hotel,54.2,170.3,561.1
Multifamily Housing,56.8,178.2,108.7
Office,62.6,171.1,11853.4
Office,74.3,170.3,857.5
Office,55.3,173.6,3084.3
Office,55.4,173.9,5456
Office,55.4,174,2268.7
Multifamily Housing,109.8,174.3,471
Residence Hall/Dormitory,71.7,169.7,529.8
Multifamily Housing,99.8,172.1,619.5
Office,55.6,174.6,3182.6
Office,55.3,173.7,460.6
Office,68.3,175.5,2697
Office,76.2,174,3114.2
Office,55.7,175,1248.1
Office,56.9,175.4,3011
Office,79,173.8,402
